Rule,Pattern,Relation1,Relation2,Relation3,Count,Body_Count,Support,Confidence
"greatAuntOf(A,B) ∧ auntOf(C,B) → auntOf(A,C)",A→[greatAuntOf]B←[auntOf]C ⇒ A→[auntOf]C,greatAuntOf,auntOf,auntOf,234,114,0.016930757542869546,2.0526315789473686
"girlSecondCousinOf(A,B) ∧ auntOf(C,B) → girlFirstCousinOnceRemovedOf(A,C)",A→[girlSecondCousinOf]B←[auntOf]C ⇒ A→[girlFirstCousinOnceRemovedOf]C,girlSecondCousinOf,auntOf,girlFirstCousinOnceRemovedOf,39,19,0.002821792923811591,2.0526315789473686
"greatGrandmotherOf(A,B) ∧ girlCousinOf(C,B) → greatGrandmotherOf(A,C)",A→[greatGrandmotherOf]B←[girlCousinOf]C ⇒ A→[greatGrandmotherOf]C,greatGrandmotherOf,girlCousinOf,greatGrandmotherOf,460,225,0.03328268576803415,2.0444444444444443
"girlCousinOf(A,B) ∧ greatGrandfatherOf(C,B) → greatGranddaughterOf(A,C)",A→[girlCousinOf]B←[greatGrandfatherOf]C ⇒ A→[greatGranddaughterOf]C,girlCousinOf,greatGrandfatherOf,greatGranddaughterOf,460,226,0.03328268576803415,2.0353982300884956
"fatherOf(A,B) ∧ daughterOf(C,B) → grandfatherOf(A,C)",A→[fatherOf]B←[daughterOf]C ⇒ A→[grandfatherOf]C,fatherOf,daughterOf,grandfatherOf,240,118,0.017364879531148254,2.0338983050847457
"auntOf(A,B) ∧ greatGrandfatherOf(C,B) → granddaughterOf(A,C)",A→[auntOf]B←[greatGrandfatherOf]C ⇒ A→[granddaughterOf]C,auntOf,greatGrandfatherOf,granddaughterOf,562,277,0.04066275956877216,2.0288808664259927
"motherOf(A,B) ∧ sonOf(C,B) → grandmotherOf(A,C)",A→[motherOf]B←[sonOf]C ⇒ A→[grandmotherOf]C,motherOf,sonOf,grandmotherOf,227,112,0.016424281889877723,2.0267857142857144
"grandfatherOf(A,B) ∧ nieceOf(C,B) → greatGrandfatherOf(A,C)",A→[grandfatherOf]B←[nieceOf]C ⇒ A→[greatGrandfatherOf]C,grandfatherOf,nieceOf,greatGrandfatherOf,530,262,0.038347442297952394,2.0229007633587788
"greatGrandmotherOf(A,B) ∧ brotherOf(C,B) → greatGrandmotherOf(A,C)",A→[greatGrandmotherOf]B←[brotherOf]C ⇒ A→[greatGrandmotherOf]C,greatGrandmotherOf,brotherOf,greatGrandmotherOf,437,217,0.03161855147963245,2.013824884792627
"greatGrandmotherOf(A,B) ∧ sisterOf(C,B) → greatGrandmotherOf(A,C)",A→[greatGrandmotherOf]B←[sisterOf]C ⇒ A→[greatGrandmotherOf]C,greatGrandmotherOf,sisterOf,greatGrandmotherOf,483,240,0.03494682005643586,2.0125
"nephewOf(A,B) ∧ grandfatherOf(C,B) → greatGrandsonOf(A,C)",A→[nephewOf]B←[grandfatherOf]C ⇒ A→[greatGrandsonOf]C,nephewOf,grandfatherOf,greatGrandsonOf,541,270,0.03914333260979669,2.0037037037037035
"sisterOf(A,B) ∧ sisterOf(C,B) → sisterOf(A,C)",A→[sisterOf]B←[sisterOf]C ⇒ A→[sisterOf]C,sisterOf,sisterOf,sisterOf,540,270,0.039070978945083566,2.0
"daughterOf(A,B) ∧ daughterOf(C,B) → sisterOf(A,C)",A→[daughterOf]B←[daughterOf]C ⇒ A→[sisterOf]C,daughterOf,daughterOf,sisterOf,518,259,0.03747919832139498,2.0
"brotherOf(A,B) ∧ brotherOf(C,B) → brotherOf(A,C)",A→[brotherOf]B←[brotherOf]C ⇒ A→[brotherOf]C,brotherOf,brotherOf,brotherOf,380,190,0.027494392590984733,2.0
"sonOf(A,B) ∧ sonOf(C,B) → brotherOf(A,C)",A→[sonOf]B←[sonOf]C ⇒ A→[brotherOf]C,sonOf,sonOf,brotherOf,372,186,0.02691556327327979,2.0
"greatAuntOf(A,B) ∧ sisterOf(C,B) → greatAuntOf(A,C)",A→[greatAuntOf]B←[sisterOf]C ⇒ A→[greatAuntOf]C,greatAuntOf,sisterOf,greatAuntOf,182,91,0.013168366977787425,2.0
"daughterOf(A,B) ∧ girlFirstCousinOnceRemovedOf(C,B) → girlSecondCousinOf(A,C)",A→[daughterOf]B←[girlFirstCousinOnceRemovedOf]C ⇒ A→[girlSecondCousinOf]C,daughterOf,girlFirstCousinOnceRemovedOf,girlSecondCousinOf,14,7,0.0010129513059836481,2.0
"girlFirstCousinOnceRemovedOf(A,B) ∧ daughterOf(C,B) → girlSecondCousinOf(A,C)",A→[girlFirstCousinOnceRemovedOf]B←[daughterOf]C ⇒ A→[girlSecondCousinOf]C,girlFirstCousinOnceRemovedOf,daughterOf,girlSecondCousinOf,14,7,0.0010129513059836481,2.0
"grandfatherOf(A,B) ∧ nephewOf(C,B) → greatGrandfatherOf(A,C)",A→[grandfatherOf]B←[nephewOf]C ⇒ A→[greatGrandfatherOf]C,grandfatherOf,nephewOf,greatGrandfatherOf,541,271,0.03914333260979669,1.996309963099631
"uncleOf(A,B) ∧ auntOf(C,B) → brotherOf(A,C)",A→[uncleOf]B←[auntOf]C ⇒ A→[brotherOf]C,uncleOf,auntOf,brotherOf,371,186,0.026843209608566673,1.9946236559139785
"brotherOf(A,B) ∧ fatherOf(C,B) → sonOf(A,C)",A→[brotherOf]B←[fatherOf]C ⇒ A→[sonOf]C,brotherOf,fatherOf,sonOf,418,210,0.030243831850083207,1.9904761904761905
"sisterOf(A,B) ∧ greatGrandmotherOf(C,B) → greatGranddaughterOf(A,C)",A→[sisterOf]B←[greatGrandmotherOf]C ⇒ A→[greatGranddaughterOf]C,sisterOf,greatGrandmotherOf,greatGranddaughterOf,483,243,0.03494682005643586,1.9876543209876543
"brotherOf(A,B) ∧ greatGrandmotherOf(C,B) → greatGrandsonOf(A,C)",A→[brotherOf]B←[greatGrandmotherOf]C ⇒ A→[greatGrandsonOf]C,brotherOf,greatGrandmotherOf,greatGrandsonOf,437,220,0.03161855147963245,1.9863636363636363
"brotherOf(A,B) ∧ grandsonOf(C,B) → greatUncleOf(A,C)",A→[brotherOf]B←[grandsonOf]C ⇒ A→[greatUncleOf]C,brotherOf,grandsonOf,greatUncleOf,125,63,0.009044208089139714,1.9841269841269842
"nieceOf(A,B) ∧ grandfatherOf(C,B) → greatGranddaughterOf(A,C)",A→[nieceOf]B←[grandfatherOf]C ⇒ A→[greatGranddaughterOf]C,nieceOf,grandfatherOf,greatGranddaughterOf,530,268,0.038347442297952394,1.9776119402985075
"uncleOf(A,B) ∧ nephewOf(C,B) → greatUncleOf(A,C)",A→[uncleOf]B←[nephewOf]C ⇒ A→[greatUncleOf]C,uncleOf,nephewOf,greatUncleOf,176,89,0.012734244989508718,1.9775280898876404
"sonOf(A,B) ∧ motherOf(C,B) → grandsonOf(A,C)",A→[sonOf]B←[motherOf]C ⇒ A→[grandsonOf]C,sonOf,motherOf,grandsonOf,227,115,0.016424281889877723,1.9739130434782608
"daughterOf(A,B) ∧ fatherOf(C,B) → granddaughterOf(A,C)",A→[daughterOf]B←[fatherOf]C ⇒ A→[granddaughterOf]C,daughterOf,fatherOf,granddaughterOf,240,122,0.017364879531148254,1.9672131147540983
"greatAuntOf(A,B) ∧ greatAuntOf(C,B) → sisterOf(A,C)",A→[greatAuntOf]B←[greatAuntOf]C ⇒ A→[sisterOf]C,greatAuntOf,greatAuntOf,sisterOf,206,105,0.01490485493090225,1.9619047619047618
"girlFirstCousinOnceRemovedOf(A,B) ∧ grandmotherOf(C,B) → greatGranddaughterOf(A,C)",A→[girlFirstCousinOnceRemovedOf]B←[grandmotherOf]C ⇒ A→[greatGranddaughterOf]C,girlFirstCousinOnceRemovedOf,grandmotherOf,greatGranddaughterOf,153,78,0.01107011070110701,1.9615384615384615
"boyCousinOf(A,B) ∧ greatGrandmotherOf(C,B) → greatGrandsonOf(A,C)",A→[boyCousinOf]B←[greatGrandmotherOf]C ⇒ A→[greatGrandsonOf]C,boyCousinOf,greatGrandmotherOf,greatGrandsonOf,400,204,0.028941465885247087,1.9607843137254901
"auntOf(A,B) ∧ girlSecondCousinOf(C,B) → secondAuntOf(A,C)",A→[auntOf]B←[girlSecondCousinOf]C ⇒ A→[secondAuntOf]C,auntOf,girlSecondCousinOf,secondAuntOf,39,20,0.002821792923811591,1.95
"secondUncleOf(A,B) ∧ secondAuntOf(C,B) → brotherOf(A,C)",A→[secondUncleOf]B←[secondAuntOf]C ⇒ A→[brotherOf]C,secondUncleOf,secondAuntOf,brotherOf,144,74,0.010418927718688952,1.945945945945946
"secondAuntOf(A,B) ∧ greatGrandmotherOf(C,B) → granddaughterOf(A,C)",A→[secondAuntOf]B←[greatGrandmotherOf]C ⇒ A→[granddaughterOf]C,secondAuntOf,greatGrandmotherOf,granddaughterOf,175,90,0.012661891324795602,1.9444444444444444
"auntOf(A,B) ∧ greatGrandmotherOf(C,B) → granddaughterOf(A,C)",A→[auntOf]B←[greatGrandmotherOf]C ⇒ A→[granddaughterOf]C,auntOf,greatGrandmotherOf,granddaughterOf,562,290,0.04066275956877216,1.9379310344827587
"boyFirstCousinOnceRemovedOf(A,B) ∧ daughterOf(C,B) → boySecondCousinOf(A,C)",A→[boyFirstCousinOnceRemovedOf]B←[daughterOf]C ⇒ A→[boySecondCousinOf]C,boyFirstCousinOnceRemovedOf,daughterOf,boySecondCousinOf,29,15,0.002098256276680414,1.9333333333333333
"brotherOf(A,B) ∧ boySecondCousinOf(C,B) → boySecondCousinOf(A,C)",A→[brotherOf]B←[boySecondCousinOf]C ⇒ A→[boySecondCousinOf]C,brotherOf,boySecondCousinOf,boySecondCousinOf,29,15,0.002098256276680414,1.9333333333333333
"daughterOf(A,B) ∧ nieceOf(C,B) → girlCousinOf(A,C)",A→[daughterOf]B←[nieceOf]C ⇒ A→[girlCousinOf]C,daughterOf,nieceOf,girlCousinOf,141,73,0.010201866724549598,1.9315068493150684
"girlFirstCousinOnceRemovedOf(A,B) ∧ sonOf(C,B) → girlSecondCousinOf(A,C)",A→[girlFirstCousinOnceRemovedOf]B←[sonOf]C ⇒ A→[girlSecondCousinOf]C,girlFirstCousinOnceRemovedOf,sonOf,girlSecondCousinOf,27,14,0.0019535489472541786,1.9285714285714286
"girlCousinOf(A,B) ∧ grandfatherOf(C,B) → granddaughterOf(A,C)",A→[girlCousinOf]B←[grandfatherOf]C ⇒ A→[granddaughterOf]C,girlCousinOf,grandfatherOf,granddaughterOf,445,231,0.03219738079733739,1.9264069264069263
"nieceOf(A,B) ∧ fatherOf(C,B) → granddaughterOf(A,C)",A→[nieceOf]B←[fatherOf]C ⇒ A→[granddaughterOf]C,nieceOf,fatherOf,granddaughterOf,438,228,0.03169090514434556,1.9210526315789473
"nieceOf(A,B) ∧ grandmotherOf(C,B) → greatGranddaughterOf(A,C)",A→[nieceOf]B←[grandmotherOf]C ⇒ A→[greatGranddaughterOf]C,nieceOf,grandmotherOf,greatGranddaughterOf,530,276,0.038347442297952394,1.9202898550724639
"sisterOf(A,B) ∧ girlCousinOf(C,B) → girlCousinOf(A,C)",A→[sisterOf]B←[girlCousinOf]C ⇒ A→[girlCousinOf]C,sisterOf,girlCousinOf,girlCousinOf,432,225,0.03125678315606686,1.92
"daughterOf(A,B) ∧ motherOf(C,B) → granddaughterOf(A,C)",A→[daughterOf]B←[motherOf]C ⇒ A→[granddaughterOf]C,daughterOf,motherOf,granddaughterOf,240,125,0.017364879531148254,1.92
"girlFirstCousinOnceRemovedOf(A,B) ∧ nephewOf(C,B) → girlSecondCousinOf(A,C)",A→[girlFirstCousinOnceRemovedOf]B←[nephewOf]C ⇒ A→[girlSecondCousinOf]C,girlFirstCousinOnceRemovedOf,nephewOf,girlSecondCousinOf,65,34,0.004702988206352652,1.911764705882353
"sonOf(A,B) ∧ fatherOf(C,B) → grandsonOf(A,C)",A→[sonOf]B←[fatherOf]C ⇒ A→[grandsonOf]C,sonOf,fatherOf,grandsonOf,227,119,0.016424281889877723,1.9075630252100841
"granddaughterOf(A,B) ∧ motherOf(C,B) → greatGranddaughterOf(A,C)",A→[granddaughterOf]B←[motherOf]C ⇒ A→[greatGranddaughterOf]C,granddaughterOf,motherOf,greatGranddaughterOf,261,137,0.018884306490123726,1.905109489051095
"greatAuntOf(A,B) ∧ girlSecondCousinOf(C,B) → greatAuntOf(A,C)",A→[greatAuntOf]B←[girlSecondCousinOf]C ⇒ A→[greatAuntOf]C,greatAuntOf,girlSecondCousinOf,greatAuntOf,40,21,0.002894146588524709,1.9047619047619047
"sonOf(A,B) ∧ nephewOf(C,B) → boyCousinOf(A,C)",A→[sonOf]B←[nephewOf]C ⇒ A→[boyCousinOf]C,sonOf,nephewOf,boyCousinOf,118,62,0.008537732436147891,1.903225806451613
"boyCousinOf(A,B) ∧ sonOf(C,B) → secondUncleOf(A,C)",A→[boyCousinOf]B←[sonOf]C ⇒ A→[secondUncleOf]C,boyCousinOf,sonOf,secondUncleOf,38,20,0.0027494392590984734,1.9
"brotherOf(A,B) ∧ granddaughterOf(C,B) → greatUncleOf(A,C)",A→[brotherOf]B←[granddaughterOf]C ⇒ A→[greatUncleOf]C,brotherOf,granddaughterOf,greatUncleOf,112,59,0.008103610447869185,1.8983050847457628
"nieceOf(A,B) ∧ sonOf(C,B) → girlCousinOf(A,C)",A→[nieceOf]B←[sonOf]C ⇒ A→[girlCousinOf]C,nieceOf,sonOf,girlCousinOf,129,68,0.009333622747992185,1.8970588235294117
"boyCousinOf(A,B) ∧ greatGrandfatherOf(C,B) → greatGrandsonOf(A,C)",A→[boyCousinOf]B←[greatGrandfatherOf]C ⇒ A→[greatGrandsonOf]C,boyCousinOf,greatGrandfatherOf,greatGrandsonOf,400,211,0.028941465885247087,1.8957345971563981
"greatGrandfatherOf(A,B) ∧ sisterOf(C,B) → greatGrandfatherOf(A,C)",A→[greatGrandfatherOf]B←[sisterOf]C ⇒ A→[greatGrandfatherOf]C,greatGrandfatherOf,sisterOf,greatGrandfatherOf,483,255,0.03494682005643586,1.8941176470588235
"greatUncleOf(A,B) ∧ greatAuntOf(C,B) → brotherOf(A,C)",A→[greatUncleOf]B←[greatAuntOf]C ⇒ A→[brotherOf]C,greatUncleOf,greatAuntOf,brotherOf,155,82,0.011214818030533246,1.8902439024390243
"daughterOf(A,B) ∧ grandfatherOf(C,B) → greatGranddaughterOf(A,C)",A→[daughterOf]B←[grandfatherOf]C ⇒ A→[greatGranddaughterOf]C,daughterOf,grandfatherOf,greatGranddaughterOf,200,106,0.014470732942623543,1.8867924528301887
"sisterOf(A,B) ∧ secondAuntOf(C,B) → girlFirstCousinOnceRemovedOf(A,C)",A→[sisterOf]B←[secondAuntOf]C ⇒ A→[girlFirstCousinOnceRemovedOf]C,sisterOf,secondAuntOf,girlFirstCousinOnceRemovedOf,49,26,0.003545329570942768,1.8846153846153846
"nephewOf(A,B) ∧ girlCousinOf(C,B) → boyFirstCousinOnceRemovedOf(A,C)",A→[nephewOf]B←[girlCousinOf]C ⇒ A→[boyFirstCousinOnceRemovedOf]C,nephewOf,girlCousinOf,boyFirstCousinOnceRemovedOf,201,107,0.014543086607336662,1.8785046728971964
"uncleOf(A,B) ∧ nieceOf(C,B) → greatUncleOf(A,C)",A→[uncleOf]B←[nieceOf]C ⇒ A→[greatUncleOf]C,uncleOf,nieceOf,greatUncleOf,137,73,0.009912452065697127,1.8767123287671232
"sonOf(A,B) ∧ brotherOf(C,B) → nephewOf(A,C)",A→[sonOf]B←[brotherOf]C ⇒ A→[nephewOf]C,sonOf,brotherOf,nephewOf,135,72,0.009767744736270892,1.875
"sonOf(A,B) ∧ boyFirstCousinOnceRemovedOf(C,B) → boySecondCousinOf(A,C)",A→[sonOf]B←[boyFirstCousinOnceRemovedOf]C ⇒ A→[boySecondCousinOf]C,sonOf,boyFirstCousinOnceRemovedOf,boySecondCousinOf,15,8,0.0010853049706967658,1.875
"girlSecondCousinOf(A,B) ∧ boyCousinOf(C,B) → girlSecondCousinOf(A,C)",A→[girlSecondCousinOf]B←[boyCousinOf]C ⇒ A→[girlSecondCousinOf]C,girlSecondCousinOf,boyCousinOf,girlSecondCousinOf,15,8,0.0010853049706967658,1.875
"greatAuntOf(A,B) ∧ boyCousinOf(C,B) → greatAuntOf(A,C)",A→[greatAuntOf]B←[boyCousinOf]C ⇒ A→[greatAuntOf]C,greatAuntOf,boyCousinOf,greatAuntOf,172,92,0.012444830330656248,1.8695652173913044
"grandmotherOf(A,B) ∧ nephewOf(C,B) → greatGrandmotherOf(A,C)",A→[grandmotherOf]B←[nephewOf]C ⇒ A→[greatGrandmotherOf]C,grandmotherOf,nephewOf,greatGrandmotherOf,541,290,0.03914333260979669,1.8655172413793104
"granddaughterOf(A,B) ∧ fatherOf(C,B) → greatGranddaughterOf(A,C)",A→[granddaughterOf]B←[fatherOf]C ⇒ A→[greatGranddaughterOf]C,granddaughterOf,fatherOf,greatGranddaughterOf,261,140,0.018884306490123726,1.8642857142857143
"grandmotherOf(A,B) ∧ sonOf(C,B) → greatGrandmotherOf(A,C)",A→[grandmotherOf]B←[sonOf]C ⇒ A→[greatGrandmotherOf]C,grandmotherOf,sonOf,greatGrandmotherOf,203,109,0.014687793936762897,1.8623853211009174
"greatGrandfatherOf(A,B) ∧ boyCousinOf(C,B) → greatGrandfatherOf(A,C)",A→[greatGrandfatherOf]B←[boyCousinOf]C ⇒ A→[greatGrandfatherOf]C,greatGrandfatherOf,boyCousinOf,greatGrandfatherOf,400,215,0.028941465885247087,1.8604651162790697
"greatGrandfatherOf(A,B) ∧ girlCousinOf(C,B) → greatGrandfatherOf(A,C)",A→[greatGrandfatherOf]B←[girlCousinOf]C ⇒ A→[greatGrandfatherOf]C,greatGrandfatherOf,girlCousinOf,greatGrandfatherOf,460,248,0.03328268576803415,1.8548387096774193
"grandsonOf(A,B) ∧ nieceOf(C,B) → boyFirstCousinOnceRemovedOf(A,C)",A→[grandsonOf]B←[nieceOf]C ⇒ A→[boyFirstCousinOnceRemovedOf]C,grandsonOf,nieceOf,boyFirstCousinOnceRemovedOf,98,53,0.007090659141885536,1.849056603773585
"girlCousinOf(A,B) ∧ greatGrandmotherOf(C,B) → greatGranddaughterOf(A,C)",A→[girlCousinOf]B←[greatGrandmotherOf]C ⇒ A→[greatGranddaughterOf]C,girlCousinOf,greatGrandmotherOf,greatGranddaughterOf,460,249,0.03328268576803415,1.8473895582329318
"auntOf(A,B) ∧ auntOf(C,B) → sisterOf(A,C)",A→[auntOf]B←[auntOf]C ⇒ A→[sisterOf]C,auntOf,auntOf,sisterOf,462,251,0.03342739309746039,1.840637450199203
"motherOf(A,B) ∧ nieceOf(C,B) → grandmotherOf(A,C)",A→[motherOf]B←[nieceOf]C ⇒ A→[grandmotherOf]C,motherOf,nieceOf,grandmotherOf,438,239,0.03169090514434556,1.8326359832635983
"nephewOf(A,B) ∧ fatherOf(C,B) → grandsonOf(A,C)",A→[nephewOf]B←[fatherOf]C ⇒ A→[grandsonOf]C,nephewOf,fatherOf,grandsonOf,458,250,0.03313797843860791,1.832
"grandfatherOf(A,B) ∧ sonOf(C,B) → greatGrandfatherOf(A,C)",A→[grandfatherOf]B←[sonOf]C ⇒ A→[greatGrandfatherOf]C,grandfatherOf,sonOf,greatGrandfatherOf,203,111,0.014687793936762897,1.8288288288288288
"greatGrandfatherOf(A,B) ∧ brotherOf(C,B) → greatGrandfatherOf(A,C)",A→[greatGrandfatherOf]B←[brotherOf]C ⇒ A→[greatGrandfatherOf]C,greatGrandfatherOf,brotherOf,greatGrandfatherOf,437,239,0.03161855147963245,1.8284518828451883
"girlFirstCousinOnceRemovedOf(A,B) ∧ nieceOf(C,B) → girlSecondCousinOf(A,C)",A→[girlFirstCousinOnceRemovedOf]B←[nieceOf]C ⇒ A→[girlSecondCousinOf]C,girlFirstCousinOnceRemovedOf,nieceOf,girlSecondCousinOf,31,17,0.0022429636061066494,1.8235294117647058
"grandsonOf(A,B) ∧ nephewOf(C,B) → boyFirstCousinOnceRemovedOf(A,C)",A→[grandsonOf]B←[nephewOf]C ⇒ A→[boyFirstCousinOnceRemovedOf]C,grandsonOf,nephewOf,boyFirstCousinOnceRemovedOf,82,45,0.005933000506475653,1.8222222222222222
"grandfatherOf(A,B) ∧ sisterOf(C,B) → grandfatherOf(A,C)",A→[grandfatherOf]B←[sisterOf]C ⇒ A→[grandfatherOf]C,grandfatherOf,sisterOf,grandfatherOf,747,410,0.054048187540698935,1.8219512195121952
"sisterOf(A,B) ∧ auntOf(C,B) → nieceOf(A,C)",A→[sisterOf]B←[auntOf]C ⇒ A→[nieceOf]C,sisterOf,auntOf,nieceOf,442,243,0.03198031980319803,1.8189300411522633
"boyCousinOf(A,B) ∧ grandfatherOf(C,B) → grandsonOf(A,C)",A→[boyCousinOf]B←[grandfatherOf]C ⇒ A→[grandsonOf]C,boyCousinOf,grandfatherOf,grandsonOf,391,215,0.028290282902829027,1.8186046511627907
"secondAuntOf(A,B) ∧ girlCousinOf(C,B) → secondAuntOf(A,C)",A→[secondAuntOf]B←[girlCousinOf]C ⇒ A→[secondAuntOf]C,secondAuntOf,girlCousinOf,secondAuntOf,69,38,0.004992402865205123,1.8157894736842106
"sisterOf(A,B) ∧ grandsonOf(C,B) → greatAuntOf(A,C)",A→[sisterOf]B←[grandsonOf]C ⇒ A→[greatAuntOf]C,sisterOf,grandsonOf,greatAuntOf,164,91,0.011866001012951306,1.8021978021978022
"greatGrandmotherOf(A,B) ∧ boyCousinOf(C,B) → greatGrandmotherOf(A,C)",A→[greatGrandmotherOf]B←[boyCousinOf]C ⇒ A→[greatGrandmotherOf]C,greatGrandmotherOf,boyCousinOf,greatGrandmotherOf,400,222,0.028941465885247087,1.8018018018018018
"secondUncleOf(A,B) ∧ greatAuntOf(C,B) → nephewOf(A,C)",A→[secondUncleOf]B←[greatAuntOf]C ⇒ A→[nephewOf]C,secondUncleOf,greatAuntOf,nephewOf,99,55,0.007163012806598654,1.8
"fatherOf(A,B) ∧ grandsonOf(C,B) → greatGrandfatherOf(A,C)",A→[fatherOf]B←[grandsonOf]C ⇒ A→[greatGrandfatherOf]C,fatherOf,grandsonOf,greatGrandfatherOf,282,157,0.020403733449099196,1.7961783439490446
"sisterOf(A,B) ∧ sonOf(C,B) → auntOf(A,C)",A→[sisterOf]B←[sonOf]C ⇒ A→[auntOf]C,sisterOf,sonOf,auntOf,226,126,0.016351928225164604,1.7936507936507937
"girlCousinOf(A,B) ∧ sonOf(C,B) → secondAuntOf(A,C)",A→[girlCousinOf]B←[sonOf]C ⇒ A→[secondAuntOf]C,girlCousinOf,sonOf,secondAuntOf,52,29,0.0037623905650821213,1.793103448275862
"nieceOf(A,B) ∧ granddaughterOf(C,B) → secondAuntOf(A,C)",A→[nieceOf]B←[granddaughterOf]C ⇒ A→[secondAuntOf]C,nieceOf,granddaughterOf,secondAuntOf,77,43,0.0055712321829100644,1.7906976744186047
"greatGrandmotherOf(A,B) ∧ auntOf(C,B) → grandmotherOf(A,C)",A→[greatGrandmotherOf]B←[auntOf]C ⇒ A→[grandmotherOf]C,greatGrandmotherOf,auntOf,grandmotherOf,562,314,0.04066275956877216,1.7898089171974523
"greatGrandfatherOf(A,B) ∧ boySecondCousinOf(C,B) → greatGrandfatherOf(A,C)",A→[greatGrandfatherOf]B←[boySecondCousinOf]C ⇒ A→[greatGrandfatherOf]C,greatGrandfatherOf,boySecondCousinOf,greatGrandfatherOf,68,38,0.004920049200492005,1.7894736842105263
"daughterOf(A,B) ∧ grandmotherOf(C,B) → greatGranddaughterOf(A,C)",A→[daughterOf]B←[grandmotherOf]C ⇒ A→[greatGranddaughterOf]C,daughterOf,grandmotherOf,greatGranddaughterOf,200,112,0.014470732942623543,1.7857142857142858
"grandmotherOf(A,B) ∧ sisterOf(C,B) → grandmotherOf(A,C)",A→[grandmotherOf]B←[sisterOf]C ⇒ A→[grandmotherOf]C,grandmotherOf,sisterOf,grandmotherOf,747,420,0.054048187540698935,1.7785714285714285
"greatUncleOf(A,B) ∧ boyCousinOf(C,B) → greatUncleOf(A,C)",A→[greatUncleOf]B←[boyCousinOf]C ⇒ A→[greatUncleOf]C,greatUncleOf,boyCousinOf,greatUncleOf,103,58,0.007452427465451125,1.7758620689655173
"greatAuntOf(A,B) ∧ brotherOf(C,B) → greatAuntOf(A,C)",A→[greatAuntOf]B←[brotherOf]C ⇒ A→[greatAuntOf]C,greatAuntOf,brotherOf,greatAuntOf,174,98,0.012589537660082483,1.7755102040816326
"girlCousinOf(A,B) ∧ daughterOf(C,B) → secondAuntOf(A,C)",A→[girlCousinOf]B←[daughterOf]C ⇒ A→[secondAuntOf]C,girlCousinOf,daughterOf,secondAuntOf,55,31,0.003979451559221475,1.7741935483870968
"auntOf(A,B) ∧ greatAuntOf(C,B) → nieceOf(A,C)",A→[auntOf]B←[greatAuntOf]C ⇒ A→[nieceOf]C,auntOf,greatAuntOf,nieceOf,234,132,0.016930757542869546,1.7727272727272727
"nephewOf(A,B) ∧ boyCousinOf(C,B) → boyFirstCousinOnceRemovedOf(A,C)",A→[nephewOf]B←[boyCousinOf]C ⇒ A→[boyFirstCousinOnceRemovedOf]C,nephewOf,boyCousinOf,boyFirstCousinOnceRemovedOf,140,79,0.010129513059836481,1.7721518987341771
"girlCousinOf(A,B) ∧ nieceOf(C,B) → secondAuntOf(A,C)",A→[girlCousinOf]B←[nieceOf]C ⇒ A→[secondAuntOf]C,girlCousinOf,nieceOf,secondAuntOf,131,74,0.00947833007741842,1.7702702702702702
"motherOf(A,B) ∧ nephewOf(C,B) → grandmotherOf(A,C)",A→[motherOf]B←[nephewOf]C ⇒ A→[grandmotherOf]C,motherOf,nephewOf,grandmotherOf,458,259,0.03313797843860791,1.7683397683397684
"daughterOf(A,B) ∧ sisterOf(C,B) → nieceOf(A,C)",A→[daughterOf]B←[sisterOf]C ⇒ A→[nieceOf]C,daughterOf,sisterOf,nieceOf,196,111,0.014181318283771073,1.7657657657657657
"motherOf(A,B) ∧ grandsonOf(C,B) → greatGrandmotherOf(A,C)",A→[motherOf]B←[grandsonOf]C ⇒ A→[greatGrandmotherOf]C,motherOf,grandsonOf,greatGrandmotherOf,282,160,0.020403733449099196,1.7625
"sisterOf(A,B) ∧ boyCousinOf(C,B) → girlCousinOf(A,C)",A→[sisterOf]B←[boyCousinOf]C ⇒ A→[girlCousinOf]C,sisterOf,boyCousinOf,girlCousinOf,337,192,0.024383185008320672,1.7552083333333333
"auntOf(A,B) ∧ secondAuntOf(C,B) → girlCousinOf(A,C)",A→[auntOf]B←[secondAuntOf]C ⇒ A→[girlCousinOf]C,auntOf,secondAuntOf,girlCousinOf,162,93,0.01172129368352507,1.7419354838709677
"auntOf(A,B) ∧ brotherOf(C,B) → auntOf(A,C)",A→[auntOf]B←[brotherOf]C ⇒ A→[auntOf]C,auntOf,brotherOf,auntOf,444,255,0.032125027132624266,1.7411764705882353
"sisterOf(A,B) ∧ brotherOf(C,B) → sisterOf(A,C)",A→[sisterOf]B←[brotherOf]C ⇒ A→[sisterOf]C,sisterOf,brotherOf,sisterOf,482,277,0.03487446639172274,1.740072202166065
"daughterOf(A,B) ∧ nephewOf(C,B) → girlCousinOf(A,C)",A→[daughterOf]B←[nephewOf]C ⇒ A→[girlCousinOf]C,daughterOf,nephewOf,girlCousinOf,127,73,0.00918891541856595,1.7397260273972603
"sisterOf(A,B) ∧ fatherOf(C,B) → daughterOf(A,C)",A→[sisterOf]B←[fatherOf]C ⇒ A→[daughterOf]C,sisterOf,fatherOf,daughterOf,439,253,0.03176325880905868,1.7351778656126482
"uncleOf(A,B) ∧ uncleOf(C,B) → brotherOf(A,C)",A→[uncleOf]B←[uncleOf]C ⇒ A→[brotherOf]C,uncleOf,uncleOf,brotherOf,294,170,0.021271977425656608,1.7294117647058824
