Rule,Pattern,Rel_B_to_A,Rel_B_to_C,Rel_A_to_C,Rel_C_to_A,Count,Body_Count,Support,Confidence
"greatAuntOf(B,A) ∧ daughterOf(B,C) → greatGranddaughterOf(A,C) ∧ greatGrandfatherOf(C,A)","A←[greatAuntOf]B→[daughterOf]C ⇒ A↔[greatGranddaughterOf,greatGrandfatherOf]C",greatAuntOf,daughterOf,greatGranddaughterOf,greatGrandfatherOf,143,479,0.010346574053975833,0.2985386221294363
"sisterOf(B,A) ∧ secondAuntOf(B,C) → secondUncleOf(A,C) ∧ boyFirstCousinOnceRemovedOf(C,A)","A←[sisterOf]B→[secondAuntOf]C ⇒ A↔[secondUncleOf,boyFirstCousinOnceRemovedOf]C",sisterOf,secondAuntOf,secondUncleOf,boyFirstCousinOnceRemovedOf,78,262,0.005643585847623182,0.29770992366412213
"daughterOf(B,A) ∧ grandmotherOf(B,C) → greatGrandfatherOf(A,C) ∧ greatGranddaughterOf(C,A)","A←[daughterOf]B→[grandmotherOf]C ⇒ A↔[greatGrandfatherOf,greatGranddaughterOf]C",daughterOf,grandmotherOf,greatGrandfatherOf,greatGranddaughterOf,130,437,0.009405976412705304,0.2974828375286041
"boySecondCousinOf(B,A) ∧ greatGrandsonOf(B,C) → greatGranddaughterOf(A,C) ∧ greatGrandmotherOf(C,A)","A←[boySecondCousinOf]B→[greatGrandsonOf]C ⇒ A↔[greatGranddaughterOf,greatGrandmotherOf]C",boySecondCousinOf,greatGrandsonOf,greatGranddaughterOf,greatGrandmotherOf,40,136,0.002894146588524709,0.29411764705882354
"boySecondCousinOf(B,A) ∧ greatGrandsonOf(B,C) → greatGranddaughterOf(A,C) ∧ greatGrandfatherOf(C,A)","A←[boySecondCousinOf]B→[greatGrandsonOf]C ⇒ A↔[greatGranddaughterOf,greatGrandfatherOf]C",boySecondCousinOf,greatGrandsonOf,greatGranddaughterOf,greatGrandfatherOf,40,136,0.002894146588524709,0.29411764705882354
"greatAuntOf(B,A) ∧ motherOf(B,C) → girlFirstCousinOnceRemovedOf(A,C) ∧ secondAuntOf(C,A)","A←[greatAuntOf]B→[motherOf]C ⇒ A↔[girlFirstCousinOnceRemovedOf,secondAuntOf]C",greatAuntOf,motherOf,girlFirstCousinOnceRemovedOf,secondAuntOf,47,160,0.0034006222415165327,0.29375
"granddaughterOf(B,A) ∧ nieceOf(B,C) → fatherOf(A,C) ∧ sonOf(C,A)","A←[granddaughterOf]B→[nieceOf]C ⇒ A↔[fatherOf,sonOf]C",granddaughterOf,nieceOf,fatherOf,sonOf,184,629,0.01331307430721366,0.29252782193958665
"secondUncleOf(B,A) ∧ brotherOf(B,C) → girlFirstCousinOnceRemovedOf(A,C) ∧ secondAuntOf(C,A)","A←[secondUncleOf]B→[brotherOf]C ⇒ A↔[girlFirstCousinOnceRemovedOf,secondAuntOf]C",secondUncleOf,brotherOf,girlFirstCousinOnceRemovedOf,secondAuntOf,66,226,0.00477534187106577,0.2920353982300885
"sonOf(B,A) ∧ grandfatherOf(B,C) → greatGrandfatherOf(A,C) ∧ greatGrandsonOf(C,A)","A←[sonOf]B→[grandfatherOf]C ⇒ A↔[greatGrandfatherOf,greatGrandsonOf]C",sonOf,grandfatherOf,greatGrandfatherOf,greatGrandsonOf,142,487,0.010274220389262716,0.2915811088295688
"secondAuntOf(B,A) ∧ auntOf(B,C) → girlSecondCousinOf(A,C) ∧ boySecondCousinOf(C,A)","A←[secondAuntOf]B→[auntOf]C ⇒ A↔[girlSecondCousinOf,boySecondCousinOf]C",secondAuntOf,auntOf,girlSecondCousinOf,boySecondCousinOf,30,103,0.0021706099413935317,0.2912621359223301
"secondAuntOf(B,A) ∧ auntOf(B,C) → boySecondCousinOf(A,C) ∧ boySecondCousinOf(C,A)","A←[secondAuntOf]B→[auntOf]C ⇒ A↔[boySecondCousinOf,boySecondCousinOf]C",secondAuntOf,auntOf,boySecondCousinOf,boySecondCousinOf,30,103,0.0021706099413935317,0.2912621359223301
"greatAuntOf(B,A) ∧ grandmotherOf(B,C) → boySecondCousinOf(A,C) ∧ boySecondCousinOf(C,A)","A←[greatAuntOf]B→[grandmotherOf]C ⇒ A↔[boySecondCousinOf,boySecondCousinOf]C",greatAuntOf,grandmotherOf,boySecondCousinOf,boySecondCousinOf,16,55,0.0011576586354098836,0.2909090909090909
"motherOf(B,A) ∧ auntOf(B,C) → girlCousinOf(A,C) ∧ boyCousinOf(C,A)","A←[motherOf]B→[auntOf]C ⇒ A↔[girlCousinOf,boyCousinOf]C",motherOf,auntOf,girlCousinOf,boyCousinOf,123,424,0.008899500759713479,0.29009433962264153
"granddaughterOf(B,A) ∧ greatGranddaughterOf(B,C) → daughterOf(A,C) ∧ fatherOf(C,A)","A←[granddaughterOf]B→[greatGranddaughterOf]C ⇒ A↔[daughterOf,fatherOf]C",granddaughterOf,greatGranddaughterOf,daughterOf,fatherOf,108,374,0.007814195789016714,0.2887700534759358
"uncleOf(B,A) ∧ fatherOf(B,C) → girlCousinOf(A,C) ∧ girlCousinOf(C,A)","A←[uncleOf]B→[fatherOf]C ⇒ A↔[girlCousinOf,girlCousinOf]C",uncleOf,fatherOf,girlCousinOf,girlCousinOf,91,316,0.006584183488893712,0.2879746835443038
"uncleOf(B,A) ∧ grandfatherOf(B,C) → secondAuntOf(A,C) ∧ girlFirstCousinOnceRemovedOf(C,A)","A←[uncleOf]B→[grandfatherOf]C ⇒ A↔[secondAuntOf,girlFirstCousinOnceRemovedOf]C",uncleOf,grandfatherOf,secondAuntOf,girlFirstCousinOnceRemovedOf,47,164,0.0034006222415165327,0.2865853658536585
"motherOf(B,A) ∧ motherOf(B,C) → sisterOf(A,C) ∧ brotherOf(C,A)","A←[motherOf]B→[motherOf]C ⇒ A↔[sisterOf,brotherOf]C",motherOf,motherOf,sisterOf,brotherOf,126,440,0.009116561753852833,0.2863636363636364
"fatherOf(B,A) ∧ fatherOf(B,C) → sisterOf(A,C) ∧ brotherOf(C,A)","A←[fatherOf]B→[fatherOf]C ⇒ A↔[sisterOf,brotherOf]C",fatherOf,fatherOf,sisterOf,brotherOf,126,440,0.009116561753852833,0.2863636363636364
"brotherOf(B,A) ∧ boyFirstCousinOnceRemovedOf(B,C) → boyFirstCousinOnceRemovedOf(A,C) ∧ secondUncleOf(C,A)","A←[brotherOf]B→[boyFirstCousinOnceRemovedOf]C ⇒ A↔[boyFirstCousinOnceRemovedOf,secondUncleOf]C",brotherOf,boyFirstCousinOnceRemovedOf,boyFirstCousinOnceRemovedOf,secondUncleOf,36,126,0.002604731929672238,0.2857142857142857
"sisterOf(B,A) ∧ girlFirstCousinOnceRemovedOf(B,C) → girlFirstCousinOnceRemovedOf(A,C) ∧ secondUncleOf(C,A)","A←[sisterOf]B→[girlFirstCousinOnceRemovedOf]C ⇒ A↔[girlFirstCousinOnceRemovedOf,secondUncleOf]C",sisterOf,girlFirstCousinOnceRemovedOf,girlFirstCousinOnceRemovedOf,secondUncleOf,28,98,0.0020259026119672963,0.2857142857142857
"boySecondCousinOf(B,A) ∧ brotherOf(B,C) → boySecondCousinOf(A,C) ∧ boySecondCousinOf(C,A)","A←[boySecondCousinOf]B→[brotherOf]C ⇒ A↔[boySecondCousinOf,boySecondCousinOf]C",boySecondCousinOf,brotherOf,boySecondCousinOf,boySecondCousinOf,18,63,0.001302365964836119,0.2857142857142857
"boyCousinOf(B,A) ∧ boySecondCousinOf(B,C) → girlSecondCousinOf(A,C) ∧ boySecondCousinOf(C,A)","A←[boyCousinOf]B→[boySecondCousinOf]C ⇒ A↔[girlSecondCousinOf,boySecondCousinOf]C",boyCousinOf,boySecondCousinOf,girlSecondCousinOf,boySecondCousinOf,6,21,0.0004341219882787063,0.2857142857142857
"sisterOf(B,A) ∧ nieceOf(B,C) → nephewOf(A,C) ∧ auntOf(C,A)","A←[sisterOf]B→[nieceOf]C ⇒ A↔[nephewOf,auntOf]C",sisterOf,nieceOf,nephewOf,auntOf,222,779,0.016062513566312133,0.28498074454428757
"sisterOf(B,A) ∧ secondAuntOf(B,C) → secondAuntOf(A,C) ∧ boyFirstCousinOnceRemovedOf(C,A)","A←[sisterOf]B→[secondAuntOf]C ⇒ A↔[secondAuntOf,boyFirstCousinOnceRemovedOf]C",sisterOf,secondAuntOf,secondAuntOf,boyFirstCousinOnceRemovedOf,74,262,0.005354171188770711,0.2824427480916031
"sisterOf(B,A) ∧ nieceOf(B,C) → nieceOf(A,C) ∧ auntOf(C,A)","A←[sisterOf]B→[nieceOf]C ⇒ A↔[nieceOf,auntOf]C",sisterOf,nieceOf,nieceOf,auntOf,220,779,0.0159178062368859,0.28241335044929394
"sisterOf(B,A) ∧ motherOf(B,C) → uncleOf(A,C) ∧ nieceOf(C,A)","A←[sisterOf]B→[motherOf]C ⇒ A↔[uncleOf,nieceOf]C",sisterOf,motherOf,uncleOf,nieceOf,130,461,0.009405976412705304,0.28199566160520606
"uncleOf(B,A) ∧ fatherOf(B,C) → girlCousinOf(A,C) ∧ boyCousinOf(C,A)","A←[uncleOf]B→[fatherOf]C ⇒ A↔[girlCousinOf,boyCousinOf]C",uncleOf,fatherOf,girlCousinOf,boyCousinOf,89,316,0.006439476159467477,0.28164556962025317
"uncleOf(B,A) ∧ sonOf(B,C) → grandsonOf(A,C) ∧ grandfatherOf(C,A)","A←[uncleOf]B→[sonOf]C ⇒ A↔[grandsonOf,grandfatherOf]C",uncleOf,sonOf,grandsonOf,grandfatherOf,183,650,0.013240720642500543,0.2815384615384615
"greatGrandsonOf(B,A) ∧ nephewOf(B,C) → grandmotherOf(A,C) ∧ granddaughterOf(C,A)","A←[greatGrandsonOf]B→[nephewOf]C ⇒ A↔[grandmotherOf,granddaughterOf]C",greatGrandsonOf,nephewOf,grandmotherOf,granddaughterOf,304,1082,0.021995514072787787,0.2809611829944547
"greatGrandsonOf(B,A) ∧ nephewOf(B,C) → grandfatherOf(A,C) ∧ granddaughterOf(C,A)","A←[greatGrandsonOf]B→[nephewOf]C ⇒ A↔[grandfatherOf,granddaughterOf]C",greatGrandsonOf,nephewOf,grandfatherOf,granddaughterOf,304,1082,0.021995514072787787,0.2809611829944547
"boyCousinOf(B,A) ∧ greatGrandsonOf(B,C) → greatGranddaughterOf(A,C) ∧ greatGrandfatherOf(C,A)","A←[boyCousinOf]B→[greatGrandsonOf]C ⇒ A↔[greatGranddaughterOf,greatGrandfatherOf]C",boyCousinOf,greatGrandsonOf,greatGranddaughterOf,greatGrandfatherOf,224,800,0.01620722089573837,0.28
"boyCousinOf(B,A) ∧ greatGrandsonOf(B,C) → greatGranddaughterOf(A,C) ∧ greatGrandmotherOf(C,A)","A←[boyCousinOf]B→[greatGrandsonOf]C ⇒ A↔[greatGranddaughterOf,greatGrandmotherOf]C",boyCousinOf,greatGrandsonOf,greatGranddaughterOf,greatGrandmotherOf,224,800,0.01620722089573837,0.28
"secondAuntOf(B,A) ∧ granddaughterOf(B,C) → greatGrandsonOf(A,C) ∧ greatGrandmotherOf(C,A)","A←[secondAuntOf]B→[granddaughterOf]C ⇒ A↔[greatGrandsonOf,greatGrandmotherOf]C",secondAuntOf,granddaughterOf,greatGrandsonOf,greatGrandmotherOf,98,350,0.007090659141885536,0.28
"secondAuntOf(B,A) ∧ granddaughterOf(B,C) → greatGrandsonOf(A,C) ∧ greatGrandfatherOf(C,A)","A←[secondAuntOf]B→[granddaughterOf]C ⇒ A↔[greatGrandsonOf,greatGrandfatherOf]C",secondAuntOf,granddaughterOf,greatGrandsonOf,greatGrandfatherOf,98,350,0.007090659141885536,0.28
"daughterOf(B,A) ∧ auntOf(B,C) → grandfatherOf(A,C) ∧ granddaughterOf(C,A)","A←[daughterOf]B→[auntOf]C ⇒ A↔[grandfatherOf,granddaughterOf]C",daughterOf,auntOf,grandfatherOf,granddaughterOf,240,861,0.017364879531148254,0.2787456445993031
"boyCousinOf(B,A) ∧ brotherOf(B,C) → girlCousinOf(A,C) ∧ boyCousinOf(C,A)","A←[boyCousinOf]B→[brotherOf]C ⇒ A↔[girlCousinOf,boyCousinOf]C",boyCousinOf,brotherOf,girlCousinOf,boyCousinOf,164,593,0.011866001012951306,0.2765598650927487
"sisterOf(B,A) ∧ daughterOf(B,C) → sonOf(A,C) ∧ fatherOf(C,A)","A←[sisterOf]B→[daughterOf]C ⇒ A↔[sonOf,fatherOf]C",sisterOf,daughterOf,sonOf,fatherOf,206,745,0.01490485493090225,0.276510067114094
"sonOf(B,A) ∧ nephewOf(B,C) → sisterOf(A,C) ∧ sisterOf(C,A)","A←[sonOf]B→[nephewOf]C ⇒ A↔[sisterOf,sisterOf]C",sonOf,nephewOf,sisterOf,sisterOf,99,361,0.007163012806598654,0.2742382271468144
"boyFirstCousinOnceRemovedOf(B,A) ∧ nephewOf(B,C) → girlCousinOf(A,C) ∧ boyCousinOf(C,A)","A←[boyFirstCousinOnceRemovedOf]B→[nephewOf]C ⇒ A↔[girlCousinOf,boyCousinOf]C",boyFirstCousinOnceRemovedOf,nephewOf,girlCousinOf,boyCousinOf,93,341,0.006728890818319948,0.2727272727272727
"motherOf(B,A) ∧ greatGrandmotherOf(B,C) → grandfatherOf(A,C) ∧ granddaughterOf(C,A)","A←[motherOf]B→[greatGrandmotherOf]C ⇒ A↔[grandfatherOf,granddaughterOf]C",motherOf,greatGrandmotherOf,grandfatherOf,granddaughterOf,148,543,0.010708342377541423,0.27255985267034993
"fatherOf(B,A) ∧ greatGrandfatherOf(B,C) → grandfatherOf(A,C) ∧ granddaughterOf(C,A)","A←[fatherOf]B→[greatGrandfatherOf]C ⇒ A↔[grandfatherOf,granddaughterOf]C",fatherOf,greatGrandfatherOf,grandfatherOf,granddaughterOf,148,543,0.010708342377541423,0.27255985267034993
"boyFirstCousinOnceRemovedOf(B,A) ∧ greatGrandsonOf(B,C) → granddaughterOf(A,C) ∧ grandmotherOf(C,A)","A←[boyFirstCousinOnceRemovedOf]B→[greatGrandsonOf]C ⇒ A↔[granddaughterOf,grandmotherOf]C",boyFirstCousinOnceRemovedOf,greatGrandsonOf,granddaughterOf,grandmotherOf,98,360,0.007090659141885536,0.2722222222222222
"boyFirstCousinOnceRemovedOf(B,A) ∧ greatGrandsonOf(B,C) → granddaughterOf(A,C) ∧ grandfatherOf(C,A)","A←[boyFirstCousinOnceRemovedOf]B→[greatGrandsonOf]C ⇒ A↔[granddaughterOf,grandfatherOf]C",boyFirstCousinOnceRemovedOf,greatGrandsonOf,granddaughterOf,grandfatherOf,98,360,0.007090659141885536,0.2722222222222222
"uncleOf(B,A) ∧ secondUncleOf(B,C) → girlSecondCousinOf(A,C) ∧ boySecondCousinOf(C,A)","A←[uncleOf]B→[secondUncleOf]C ⇒ A↔[girlSecondCousinOf,boySecondCousinOf]C",uncleOf,secondUncleOf,girlSecondCousinOf,boySecondCousinOf,28,103,0.0020259026119672963,0.27184466019417475
"motherOf(B,A) ∧ auntOf(B,C) → girlCousinOf(A,C) ∧ girlCousinOf(C,A)","A←[motherOf]B→[auntOf]C ⇒ A↔[girlCousinOf,girlCousinOf]C",motherOf,auntOf,girlCousinOf,girlCousinOf,115,424,0.008320671442008537,0.27122641509433965
"granddaughterOf(B,A) ∧ auntOf(B,C) → greatGrandmotherOf(A,C) ∧ greatGrandsonOf(C,A)","A←[granddaughterOf]B→[auntOf]C ⇒ A↔[greatGrandmotherOf,greatGrandsonOf]C",granddaughterOf,auntOf,greatGrandmotherOf,greatGrandsonOf,304,1124,0.021995514072787787,0.2704626334519573
"granddaughterOf(B,A) ∧ auntOf(B,C) → greatGrandfatherOf(A,C) ∧ greatGrandsonOf(C,A)","A←[granddaughterOf]B→[auntOf]C ⇒ A↔[greatGrandfatherOf,greatGrandsonOf]C",granddaughterOf,auntOf,greatGrandfatherOf,greatGrandsonOf,304,1124,0.021995514072787787,0.2704626334519573
"brotherOf(B,A) ∧ sonOf(B,C) → sonOf(A,C) ∧ fatherOf(C,A)","A←[brotherOf]B→[sonOf]C ⇒ A↔[sonOf,fatherOf]C",brotherOf,sonOf,sonOf,fatherOf,196,725,0.014181318283771073,0.27034482758620687
"nephewOf(B,A) ∧ nephewOf(B,C) → sisterOf(A,C) ∧ brotherOf(C,A)","A←[nephewOf]B→[nephewOf]C ⇒ A↔[sisterOf,brotherOf]C",nephewOf,nephewOf,sisterOf,brotherOf,100,372,0.007235366471311772,0.26881720430107525
"secondAuntOf(B,A) ∧ nieceOf(B,C) → granddaughterOf(A,C) ∧ grandfatherOf(C,A)","A←[secondAuntOf]B→[nieceOf]C ⇒ A↔[granddaughterOf,grandfatherOf]C",secondAuntOf,nieceOf,granddaughterOf,grandfatherOf,47,175,0.0034006222415165327,0.26857142857142857
"sisterOf(B,A) ∧ girlSecondCousinOf(B,C) → boySecondCousinOf(A,C) ∧ boySecondCousinOf(C,A)","A←[sisterOf]B→[girlSecondCousinOf]C ⇒ A↔[boySecondCousinOf,boySecondCousinOf]C",sisterOf,girlSecondCousinOf,boySecondCousinOf,boySecondCousinOf,11,41,0.0007958903118442949,0.2682926829268293
"brotherOf(B,A) ∧ grandsonOf(B,C) → granddaughterOf(A,C) ∧ grandmotherOf(C,A)","A←[brotherOf]B→[grandsonOf]C ⇒ A↔[granddaughterOf,grandmotherOf]C",brotherOf,grandsonOf,granddaughterOf,grandmotherOf,361,1346,0.026119672961435497,0.26820208023774145
"brotherOf(B,A) ∧ grandsonOf(B,C) → granddaughterOf(A,C) ∧ grandfatherOf(C,A)","A←[brotherOf]B→[grandsonOf]C ⇒ A↔[granddaughterOf,grandfatherOf]C",brotherOf,grandsonOf,granddaughterOf,grandfatherOf,361,1346,0.026119672961435497,0.26820208023774145
"daughterOf(B,A) ∧ nieceOf(B,C) → brotherOf(A,C) ∧ sisterOf(C,A)","A←[daughterOf]B→[nieceOf]C ⇒ A↔[brotherOf,sisterOf]C",daughterOf,nieceOf,brotherOf,sisterOf,91,340,0.006584183488893712,0.2676470588235294
"boyCousinOf(B,A) ∧ grandsonOf(B,C) → granddaughterOf(A,C) ∧ grandmotherOf(C,A)","A←[boyCousinOf]B→[grandsonOf]C ⇒ A↔[granddaughterOf,grandmotherOf]C",boyCousinOf,grandsonOf,granddaughterOf,grandmotherOf,209,782,0.015121915925041604,0.2672634271099744
"boyCousinOf(B,A) ∧ grandsonOf(B,C) → granddaughterOf(A,C) ∧ grandfatherOf(C,A)","A←[boyCousinOf]B→[grandsonOf]C ⇒ A↔[granddaughterOf,grandfatherOf]C",boyCousinOf,grandsonOf,granddaughterOf,grandfatherOf,209,782,0.015121915925041604,0.2672634271099744
"boyCousinOf(B,A) ∧ sonOf(B,C) → nephewOf(A,C) ∧ auntOf(C,A)","A←[boyCousinOf]B→[sonOf]C ⇒ A↔[nephewOf,auntOf]C",boyCousinOf,sonOf,nephewOf,auntOf,66,247,0.00477534187106577,0.26720647773279355
"uncleOf(B,A) ∧ grandsonOf(B,C) → greatGranddaughterOf(A,C) ∧ greatGrandmotherOf(C,A)","A←[uncleOf]B→[grandsonOf]C ⇒ A↔[greatGranddaughterOf,greatGrandmotherOf]C",uncleOf,grandsonOf,greatGranddaughterOf,greatGrandmotherOf,272,1018,0.01968019680196802,0.26719056974459726
"uncleOf(B,A) ∧ grandsonOf(B,C) → greatGranddaughterOf(A,C) ∧ greatGrandfatherOf(C,A)","A←[uncleOf]B→[grandsonOf]C ⇒ A↔[greatGranddaughterOf,greatGrandfatherOf]C",uncleOf,grandsonOf,greatGranddaughterOf,greatGrandfatherOf,272,1018,0.01968019680196802,0.26719056974459726
"sisterOf(B,A) ∧ greatGranddaughterOf(B,C) → greatGranddaughterOf(A,C) ∧ greatGrandfatherOf(C,A)","A←[sisterOf]B→[greatGranddaughterOf]C ⇒ A↔[greatGranddaughterOf,greatGrandfatherOf]C",sisterOf,greatGranddaughterOf,greatGranddaughterOf,greatGrandfatherOf,258,966,0.01866724549598437,0.2670807453416149
"sisterOf(B,A) ∧ greatGranddaughterOf(B,C) → greatGranddaughterOf(A,C) ∧ greatGrandmotherOf(C,A)","A←[sisterOf]B→[greatGranddaughterOf]C ⇒ A↔[greatGranddaughterOf,greatGrandmotherOf]C",sisterOf,greatGranddaughterOf,greatGranddaughterOf,greatGrandmotherOf,258,966,0.01866724549598437,0.2670807453416149
"girlCousinOf(B,A) ∧ motherOf(B,C) → secondAuntOf(A,C) ∧ girlFirstCousinOnceRemovedOf(C,A)","A←[girlCousinOf]B→[motherOf]C ⇒ A↔[secondAuntOf,girlFirstCousinOnceRemovedOf]C",girlCousinOf,motherOf,secondAuntOf,girlFirstCousinOnceRemovedOf,40,150,0.002894146588524709,0.26666666666666666
"greatUncleOf(B,A) ∧ grandfatherOf(B,C) → girlSecondCousinOf(A,C) ∧ girlSecondCousinOf(C,A)","A←[greatUncleOf]B→[grandfatherOf]C ⇒ A↔[girlSecondCousinOf,girlSecondCousinOf]C",greatUncleOf,grandfatherOf,girlSecondCousinOf,girlSecondCousinOf,20,75,0.0014470732942623544,0.26666666666666666
"grandsonOf(B,A) ∧ fatherOf(B,C) → greatGrandmotherOf(A,C) ∧ greatGrandsonOf(C,A)","A←[grandsonOf]B→[fatherOf]C ⇒ A↔[greatGrandmotherOf,greatGrandsonOf]C",grandsonOf,fatherOf,greatGrandmotherOf,greatGrandsonOf,157,590,0.011359525359959481,0.26610169491525426
"grandsonOf(B,A) ∧ fatherOf(B,C) → greatGrandfatherOf(A,C) ∧ greatGrandsonOf(C,A)","A←[grandsonOf]B→[fatherOf]C ⇒ A↔[greatGrandfatherOf,greatGrandsonOf]C",grandsonOf,fatherOf,greatGrandfatherOf,greatGrandsonOf,157,590,0.011359525359959481,0.26610169491525426
"granddaughterOf(B,A) ∧ motherOf(B,C) → greatGrandmotherOf(A,C) ∧ greatGranddaughterOf(C,A)","A←[granddaughterOf]B→[motherOf]C ⇒ A↔[greatGrandmotherOf,greatGranddaughterOf]C",granddaughterOf,motherOf,greatGrandmotherOf,greatGranddaughterOf,134,504,0.009695391071557775,0.26587301587301587
"granddaughterOf(B,A) ∧ motherOf(B,C) → greatGrandfatherOf(A,C) ∧ greatGranddaughterOf(C,A)","A←[granddaughterOf]B→[motherOf]C ⇒ A↔[greatGrandfatherOf,greatGranddaughterOf]C",granddaughterOf,motherOf,greatGrandfatherOf,greatGranddaughterOf,134,504,0.009695391071557775,0.26587301587301587
"boySecondCousinOf(B,A) ∧ nephewOf(B,C) → girlFirstCousinOnceRemovedOf(A,C) ∧ secondAuntOf(C,A)","A←[boySecondCousinOf]B→[nephewOf]C ⇒ A↔[girlFirstCousinOnceRemovedOf,secondAuntOf]C",boySecondCousinOf,nephewOf,girlFirstCousinOnceRemovedOf,secondAuntOf,30,113,0.0021706099413935317,0.26548672566371684
"boySecondCousinOf(B,A) ∧ nephewOf(B,C) → boyFirstCousinOnceRemovedOf(A,C) ∧ secondAuntOf(C,A)","A←[boySecondCousinOf]B→[nephewOf]C ⇒ A↔[boyFirstCousinOnceRemovedOf,secondAuntOf]C",boySecondCousinOf,nephewOf,boyFirstCousinOnceRemovedOf,secondAuntOf,30,113,0.0021706099413935317,0.26548672566371684
"girlCousinOf(B,A) ∧ granddaughterOf(B,C) → granddaughterOf(A,C) ∧ grandmotherOf(C,A)","A←[girlCousinOf]B→[granddaughterOf]C ⇒ A↔[granddaughterOf,grandmotherOf]C",girlCousinOf,granddaughterOf,granddaughterOf,grandmotherOf,236,890,0.017075464872295783,0.2651685393258427
"girlCousinOf(B,A) ∧ granddaughterOf(B,C) → granddaughterOf(A,C) ∧ grandfatherOf(C,A)","A←[girlCousinOf]B→[granddaughterOf]C ⇒ A↔[granddaughterOf,grandfatherOf]C",girlCousinOf,granddaughterOf,granddaughterOf,grandfatherOf,236,890,0.017075464872295783,0.2651685393258427
"girlCousinOf(B,A) ∧ auntOf(B,C) → secondUncleOf(A,C) ∧ boyFirstCousinOnceRemovedOf(C,A)","A←[girlCousinOf]B→[auntOf]C ⇒ A↔[secondUncleOf,boyFirstCousinOnceRemovedOf]C",girlCousinOf,auntOf,secondUncleOf,boyFirstCousinOnceRemovedOf,77,291,0.0055712321829100644,0.2646048109965636
"sisterOf(B,A) ∧ sisterOf(B,C) → sisterOf(A,C) ∧ sisterOf(C,A)","A←[sisterOf]B→[sisterOf]C ⇒ A↔[sisterOf,sisterOf]C",sisterOf,sisterOf,sisterOf,sisterOf,135,511,0.009767744736270892,0.26418786692759294
"girlFirstCousinOnceRemovedOf(B,A) ∧ girlFirstCousinOnceRemovedOf(B,C) → sisterOf(A,C) ∧ brotherOf(C,A)","A←[girlFirstCousinOnceRemovedOf]B→[girlFirstCousinOnceRemovedOf]C ⇒ A↔[sisterOf,brotherOf]C",girlFirstCousinOnceRemovedOf,girlFirstCousinOnceRemovedOf,sisterOf,brotherOf,44,167,0.0031835612473771796,0.2634730538922156
"motherOf(B,A) ∧ greatGrandmotherOf(B,C) → grandmotherOf(A,C) ∧ grandsonOf(C,A)","A←[motherOf]B→[greatGrandmotherOf]C ⇒ A↔[grandmotherOf,grandsonOf]C",motherOf,greatGrandmotherOf,grandmotherOf,grandsonOf,143,543,0.010346574053975833,0.26335174953959484
"fatherOf(B,A) ∧ greatGrandfatherOf(B,C) → grandmotherOf(A,C) ∧ grandsonOf(C,A)","A←[fatherOf]B→[greatGrandfatherOf]C ⇒ A↔[grandmotherOf,grandsonOf]C",fatherOf,greatGrandfatherOf,grandmotherOf,grandsonOf,143,543,0.010346574053975833,0.26335174953959484
"boyCousinOf(B,A) ∧ sonOf(B,C) → nieceOf(A,C) ∧ auntOf(C,A)","A←[boyCousinOf]B→[sonOf]C ⇒ A↔[nieceOf,auntOf]C",boyCousinOf,sonOf,nieceOf,auntOf,65,247,0.004702988206352652,0.2631578947368421
"nieceOf(B,A) ∧ nieceOf(B,C) → sisterOf(A,C) ∧ sisterOf(C,A)","A←[nieceOf]B→[nieceOf]C ⇒ A↔[sisterOf,sisterOf]C",nieceOf,nieceOf,sisterOf,sisterOf,99,377,0.007163012806598654,0.2625994694960212
"nieceOf(B,A) ∧ nieceOf(B,C) → sisterOf(A,C) ∧ brotherOf(C,A)","A←[nieceOf]B→[nieceOf]C ⇒ A↔[sisterOf,brotherOf]C",nieceOf,nieceOf,sisterOf,brotherOf,99,377,0.007163012806598654,0.2625994694960212
"girlCousinOf(B,A) ∧ girlFirstCousinOnceRemovedOf(B,C) → boyFirstCousinOnceRemovedOf(A,C) ∧ secondAuntOf(C,A)","A←[girlCousinOf]B→[girlFirstCousinOnceRemovedOf]C ⇒ A↔[boyFirstCousinOnceRemovedOf,secondAuntOf]C",girlCousinOf,girlFirstCousinOnceRemovedOf,boyFirstCousinOnceRemovedOf,secondAuntOf,29,111,0.002098256276680414,0.26126126126126126
"uncleOf(B,A) ∧ boyCousinOf(B,C) → girlFirstCousinOnceRemovedOf(A,C) ∧ secondAuntOf(C,A)","A←[uncleOf]B→[boyCousinOf]C ⇒ A↔[girlFirstCousinOnceRemovedOf,secondAuntOf]C",uncleOf,boyCousinOf,girlFirstCousinOnceRemovedOf,secondAuntOf,77,295,0.0055712321829100644,0.26101694915254237
"girlCousinOf(B,A) ∧ motherOf(B,C) → secondUncleOf(A,C) ∧ boyFirstCousinOnceRemovedOf(C,A)","A←[girlCousinOf]B→[motherOf]C ⇒ A↔[secondUncleOf,boyFirstCousinOnceRemovedOf]C",girlCousinOf,motherOf,secondUncleOf,boyFirstCousinOnceRemovedOf,39,150,0.002821792923811591,0.26
