Rule,Pattern,Relation1,Relation2,Rel_A_to_C,Rel_C_to_A,Count,Body_Count,Support,Confidence
"daughterOf(A,B) ∧ greatGrandsonOf(C,B) → grandmotherOf(A,C) ∧ grandsonOf(C,A)","A→[daughterOf]B←[greatGrandsonOf]C ⇒ A↔[grandmotherOf,grandsonOf]C",daughterOf,greatGrandsonOf,grandmotherOf,grandsonOf,153,153,0.01107011070110701,1.0
"grandfatherOf(A,B) ∧ greatGrandfatherOf(C,B) → sonOf(A,C) ∧ fatherOf(C,A)","A→[grandfatherOf]B←[greatGrandfatherOf]C ⇒ A↔[sonOf,fatherOf]C",grandfatherOf,greatGrandfatherOf,sonOf,fatherOf,151,151,0.010925403371680775,1.0
"brotherOf(A,B) ∧ fatherOf(C,B) → sonOf(A,C) ∧ fatherOf(C,A)","A→[brotherOf]B←[fatherOf]C ⇒ A↔[sonOf,fatherOf]C",brotherOf,fatherOf,sonOf,fatherOf,148,148,0.010708342377541423,1.0
"uncleOf(A,B) ∧ uncleOf(C,B) → brotherOf(A,C) ∧ brotherOf(C,A)","A→[uncleOf]B←[uncleOf]C ⇒ A↔[brotherOf,brotherOf]C",uncleOf,uncleOf,brotherOf,brotherOf,147,147,0.010635988712828304,1.0
"motherOf(A,B) ∧ grandfatherOf(C,B) → daughterOf(A,C) ∧ fatherOf(C,A)","A→[motherOf]B←[grandfatherOf]C ⇒ A↔[daughterOf,fatherOf]C",motherOf,grandfatherOf,daughterOf,fatherOf,146,146,0.010563635048115187,1.0
"girlCousinOf(A,B) ∧ grandmotherOf(C,B) → granddaughterOf(A,C) ∧ grandmotherOf(C,A)","A→[girlCousinOf]B←[grandmotherOf]C ⇒ A↔[granddaughterOf,grandmotherOf]C",girlCousinOf,grandmotherOf,granddaughterOf,grandmotherOf,145,145,0.010491281383402069,1.0
"grandmotherOf(A,B) ∧ greatGrandfatherOf(C,B) → daughterOf(A,C) ∧ fatherOf(C,A)","A→[grandmotherOf]B←[greatGrandfatherOf]C ⇒ A↔[daughterOf,fatherOf]C",grandmotherOf,greatGrandfatherOf,daughterOf,fatherOf,145,145,0.010491281383402069,1.0
"boyCousinOf(A,B) ∧ sisterOf(C,B) → boyCousinOf(A,C) ∧ girlCousinOf(C,A)","A→[boyCousinOf]B←[sisterOf]C ⇒ A↔[boyCousinOf,girlCousinOf]C",boyCousinOf,sisterOf,boyCousinOf,girlCousinOf,145,145,0.010491281383402069,1.0
"brotherOf(A,B) ∧ girlCousinOf(C,B) → boyCousinOf(A,C) ∧ girlCousinOf(C,A)","A→[brotherOf]B←[girlCousinOf]C ⇒ A↔[boyCousinOf,girlCousinOf]C",brotherOf,girlCousinOf,boyCousinOf,girlCousinOf,145,145,0.010491281383402069,1.0
"uncleOf(A,B) ∧ grandfatherOf(C,B) → sonOf(A,C) ∧ fatherOf(C,A)","A→[uncleOf]B←[grandfatherOf]C ⇒ A↔[sonOf,fatherOf]C",uncleOf,grandfatherOf,sonOf,fatherOf,144,144,0.010418927718688952,1.0
"grandmotherOf(A,B) ∧ uncleOf(C,B) → motherOf(A,C) ∧ sonOf(C,A)","A→[grandmotherOf]B←[uncleOf]C ⇒ A↔[motherOf,sonOf]C",grandmotherOf,uncleOf,motherOf,sonOf,142,142,0.010274220389262716,1.0
"fatherOf(A,B) ∧ grandfatherOf(C,B) → sonOf(A,C) ∧ fatherOf(C,A)","A→[fatherOf]B←[grandfatherOf]C ⇒ A↔[sonOf,fatherOf]C",fatherOf,grandfatherOf,sonOf,fatherOf,141,141,0.010201866724549598,1.0
"fatherOf(A,B) ∧ greatGrandmotherOf(C,B) → grandsonOf(A,C) ∧ grandmotherOf(C,A)","A→[fatherOf]B←[greatGrandmotherOf]C ⇒ A↔[grandsonOf,grandmotherOf]C",fatherOf,greatGrandmotherOf,grandsonOf,grandmotherOf,140,140,0.010129513059836481,1.0
"granddaughterOf(A,B) ∧ fatherOf(C,B) → greatGranddaughterOf(A,C) ∧ greatGrandfatherOf(C,A)","A→[granddaughterOf]B←[fatherOf]C ⇒ A↔[greatGranddaughterOf,greatGrandfatherOf]C",granddaughterOf,fatherOf,greatGranddaughterOf,greatGrandfatherOf,140,140,0.010129513059836481,1.0
"motherOf(A,B) ∧ auntOf(C,B) → sisterOf(A,C) ∧ sisterOf(C,A)","A→[motherOf]B←[auntOf]C ⇒ A↔[sisterOf,sisterOf]C",motherOf,auntOf,sisterOf,sisterOf,137,137,0.009912452065697127,1.0
"granddaughterOf(A,B) ∧ motherOf(C,B) → greatGranddaughterOf(A,C) ∧ greatGrandmotherOf(C,A)","A→[granddaughterOf]B←[motherOf]C ⇒ A↔[greatGranddaughterOf,greatGrandmotherOf]C",granddaughterOf,motherOf,greatGranddaughterOf,greatGrandmotherOf,137,137,0.009912452065697127,1.0
"greatGrandfatherOf(A,B) ∧ motherOf(C,B) → grandfatherOf(A,C) ∧ granddaughterOf(C,A)","A→[greatGrandfatherOf]B←[motherOf]C ⇒ A↔[grandfatherOf,granddaughterOf]C",greatGrandfatherOf,motherOf,grandfatherOf,granddaughterOf,137,137,0.009912452065697127,1.0
"greatGrandmotherOf(A,B) ∧ motherOf(C,B) → grandmotherOf(A,C) ∧ granddaughterOf(C,A)","A→[greatGrandmotherOf]B←[motherOf]C ⇒ A↔[grandmotherOf,granddaughterOf]C",greatGrandmotherOf,motherOf,grandmotherOf,granddaughterOf,137,137,0.009912452065697127,1.0
"fatherOf(A,B) ∧ greatGrandfatherOf(C,B) → grandsonOf(A,C) ∧ grandfatherOf(C,A)","A→[fatherOf]B←[greatGrandfatherOf]C ⇒ A↔[grandsonOf,grandfatherOf]C",fatherOf,greatGrandfatherOf,grandsonOf,grandfatherOf,136,136,0.00984009840098401,1.0
"boyCousinOf(A,B) ∧ brotherOf(C,B) → boyCousinOf(A,C) ∧ boyCousinOf(C,A)","A→[boyCousinOf]B←[brotherOf]C ⇒ A↔[boyCousinOf,boyCousinOf]C",boyCousinOf,brotherOf,boyCousinOf,boyCousinOf,135,135,0.009767744736270892,1.0
"greatGrandfatherOf(A,B) ∧ greatAuntOf(C,B) → fatherOf(A,C) ∧ daughterOf(C,A)","A→[greatGrandfatherOf]B←[greatAuntOf]C ⇒ A↔[fatherOf,daughterOf]C",greatGrandfatherOf,greatAuntOf,fatherOf,daughterOf,133,133,0.009623037406844656,1.0
"sonOf(A,B) ∧ greatGranddaughterOf(C,B) → grandfatherOf(A,C) ∧ granddaughterOf(C,A)","A→[sonOf]B←[greatGranddaughterOf]C ⇒ A↔[grandfatherOf,granddaughterOf]C",sonOf,greatGranddaughterOf,grandfatherOf,granddaughterOf,132,132,0.00955068374213154,1.0
"grandfatherOf(A,B) ∧ motherOf(C,B) → fatherOf(A,C) ∧ daughterOf(C,A)","A→[grandfatherOf]B←[motherOf]C ⇒ A↔[fatherOf,daughterOf]C",grandfatherOf,motherOf,fatherOf,daughterOf,132,132,0.00955068374213154,1.0
"greatAuntOf(A,B) ∧ greatGrandfatherOf(C,B) → daughterOf(A,C) ∧ fatherOf(C,A)","A→[greatAuntOf]B←[greatGrandfatherOf]C ⇒ A↔[daughterOf,fatherOf]C",greatAuntOf,greatGrandfatherOf,daughterOf,fatherOf,130,130,0.009405976412705304,1.0
"motherOf(A,B) ∧ sisterOf(C,B) → motherOf(A,C) ∧ daughterOf(C,A)","A→[motherOf]B←[sisterOf]C ⇒ A↔[motherOf,daughterOf]C",motherOf,sisterOf,motherOf,daughterOf,128,128,0.009261269083279068,1.0
"uncleOf(A,B) ∧ sisterOf(C,B) → uncleOf(A,C) ∧ nieceOf(C,A)","A→[uncleOf]B←[sisterOf]C ⇒ A↔[uncleOf,nieceOf]C",uncleOf,sisterOf,uncleOf,nieceOf,128,128,0.009261269083279068,1.0
"auntOf(A,B) ∧ greatAuntOf(C,B) → nieceOf(A,C) ∧ auntOf(C,A)","A→[auntOf]B←[greatAuntOf]C ⇒ A↔[nieceOf,auntOf]C",auntOf,greatAuntOf,nieceOf,auntOf,127,127,0.00918891541856595,1.0
"boyCousinOf(A,B) ∧ grandmotherOf(C,B) → grandsonOf(A,C) ∧ grandmotherOf(C,A)","A→[boyCousinOf]B←[grandmotherOf]C ⇒ A↔[grandsonOf,grandmotherOf]C",boyCousinOf,grandmotherOf,grandsonOf,grandmotherOf,126,126,0.009116561753852833,1.0
"sisterOf(A,B) ∧ sonOf(C,B) → auntOf(A,C) ∧ nephewOf(C,A)","A→[sisterOf]B←[sonOf]C ⇒ A↔[auntOf,nephewOf]C",sisterOf,sonOf,auntOf,nephewOf,126,126,0.009116561753852833,1.0
"greatGranddaughterOf(A,B) ∧ sonOf(C,B) → granddaughterOf(A,C) ∧ grandfatherOf(C,A)","A→[greatGranddaughterOf]B←[sonOf]C ⇒ A↔[granddaughterOf,grandfatherOf]C",greatGranddaughterOf,sonOf,granddaughterOf,grandfatherOf,126,126,0.009116561753852833,1.0
"daughterOf(A,B) ∧ motherOf(C,B) → granddaughterOf(A,C) ∧ grandmotherOf(C,A)","A→[daughterOf]B←[motherOf]C ⇒ A↔[granddaughterOf,grandmotherOf]C",daughterOf,motherOf,granddaughterOf,grandmotherOf,125,125,0.009044208089139714,1.0
"grandsonOf(A,B) ∧ fatherOf(C,B) → greatGrandsonOf(A,C) ∧ greatGrandfatherOf(C,A)","A→[grandsonOf]B←[fatherOf]C ⇒ A↔[greatGrandsonOf,greatGrandfatherOf]C",grandsonOf,fatherOf,greatGrandsonOf,greatGrandfatherOf,125,125,0.009044208089139714,1.0
"grandmotherOf(A,B) ∧ boyFirstCousinOnceRemovedOf(C,B) → greatGrandmotherOf(A,C) ∧ greatGrandsonOf(C,A)","A→[grandmotherOf]B←[boyFirstCousinOnceRemovedOf]C ⇒ A↔[greatGrandmotherOf,greatGrandsonOf]C",grandmotherOf,boyFirstCousinOnceRemovedOf,greatGrandmotherOf,greatGrandsonOf,125,125,0.009044208089139714,1.0
"motherOf(A,B) ∧ uncleOf(C,B) → sisterOf(A,C) ∧ brotherOf(C,A)","A→[motherOf]B←[uncleOf]C ⇒ A↔[sisterOf,brotherOf]C",motherOf,uncleOf,sisterOf,brotherOf,124,124,0.008971854424426598,1.0
"motherOf(A,B) ∧ granddaughterOf(C,B) → greatGrandmotherOf(A,C) ∧ greatGranddaughterOf(C,A)","A→[motherOf]B←[granddaughterOf]C ⇒ A↔[greatGrandmotherOf,greatGranddaughterOf]C",motherOf,granddaughterOf,greatGrandmotherOf,greatGranddaughterOf,124,124,0.008971854424426598,1.0
"daughterOf(A,B) ∧ fatherOf(C,B) → granddaughterOf(A,C) ∧ grandfatherOf(C,A)","A→[daughterOf]B←[fatherOf]C ⇒ A↔[granddaughterOf,grandfatherOf]C",daughterOf,fatherOf,granddaughterOf,grandfatherOf,122,122,0.008827147095000362,1.0
"grandsonOf(A,B) ∧ motherOf(C,B) → greatGrandsonOf(A,C) ∧ greatGrandmotherOf(C,A)","A→[grandsonOf]B←[motherOf]C ⇒ A↔[greatGrandsonOf,greatGrandmotherOf]C",grandsonOf,motherOf,greatGrandsonOf,greatGrandmotherOf,122,122,0.008827147095000362,1.0
"auntOf(A,B) ∧ greatUncleOf(C,B) → nieceOf(A,C) ∧ uncleOf(C,A)","A→[auntOf]B←[greatUncleOf]C ⇒ A↔[nieceOf,uncleOf]C",auntOf,greatUncleOf,nieceOf,uncleOf,122,122,0.008827147095000362,1.0
"fatherOf(A,B) ∧ granddaughterOf(C,B) → greatGrandfatherOf(A,C) ∧ greatGranddaughterOf(C,A)","A→[fatherOf]B←[granddaughterOf]C ⇒ A↔[greatGrandfatherOf,greatGranddaughterOf]C",fatherOf,granddaughterOf,greatGrandfatherOf,greatGranddaughterOf,121,121,0.008754793430287244,1.0
"sonOf(A,B) ∧ fatherOf(C,B) → grandsonOf(A,C) ∧ grandfatherOf(C,A)","A→[sonOf]B←[fatherOf]C ⇒ A↔[grandsonOf,grandfatherOf]C",sonOf,fatherOf,grandsonOf,grandfatherOf,119,119,0.008610086100861008,1.0
"motherOf(A,B) ∧ boyCousinOf(C,B) → auntOf(A,C) ∧ nephewOf(C,A)","A→[motherOf]B←[boyCousinOf]C ⇒ A↔[auntOf,nephewOf]C",motherOf,boyCousinOf,auntOf,nephewOf,118,118,0.008537732436147891,1.0
"fatherOf(A,B) ∧ daughterOf(C,B) → grandfatherOf(A,C) ∧ granddaughterOf(C,A)","A→[fatherOf]B←[daughterOf]C ⇒ A↔[grandfatherOf,granddaughterOf]C",fatherOf,daughterOf,grandfatherOf,granddaughterOf,118,118,0.008537732436147891,1.0
"sonOf(A,B) ∧ greatGrandsonOf(C,B) → grandfatherOf(A,C) ∧ grandsonOf(C,A)","A→[sonOf]B←[greatGrandsonOf]C ⇒ A↔[grandfatherOf,grandsonOf]C",sonOf,greatGrandsonOf,grandfatherOf,grandsonOf,116,116,0.008393025106721656,1.0
"greatGrandfatherOf(A,B) ∧ grandfatherOf(C,B) → fatherOf(A,C) ∧ sonOf(C,A)","A→[greatGrandfatherOf]B←[grandfatherOf]C ⇒ A↔[fatherOf,sonOf]C",greatGrandfatherOf,grandfatherOf,fatherOf,sonOf,116,116,0.008393025106721656,1.0
"motherOf(A,B) ∧ daughterOf(C,B) → grandmotherOf(A,C) ∧ granddaughterOf(C,A)","A→[motherOf]B←[daughterOf]C ⇒ A↔[grandmotherOf,granddaughterOf]C",motherOf,daughterOf,grandmotherOf,granddaughterOf,115,115,0.008320671442008537,1.0
"daughterOf(A,B) ∧ greatGranddaughterOf(C,B) → grandmotherOf(A,C) ∧ granddaughterOf(C,A)","A→[daughterOf]B←[greatGranddaughterOf]C ⇒ A↔[grandmotherOf,granddaughterOf]C",daughterOf,greatGranddaughterOf,grandmotherOf,granddaughterOf,115,115,0.008320671442008537,1.0
"sonOf(A,B) ∧ motherOf(C,B) → grandsonOf(A,C) ∧ grandmotherOf(C,A)","A→[sonOf]B←[motherOf]C ⇒ A↔[grandsonOf,grandmotherOf]C",sonOf,motherOf,grandsonOf,grandmotherOf,115,115,0.008320671442008537,1.0
"motherOf(A,B) ∧ greatGrandmotherOf(C,B) → granddaughterOf(A,C) ∧ grandmotherOf(C,A)","A→[motherOf]B←[greatGrandmotherOf]C ⇒ A↔[granddaughterOf,grandmotherOf]C",motherOf,greatGrandmotherOf,granddaughterOf,grandmotherOf,115,115,0.008320671442008537,1.0
"motherOf(A,B) ∧ greatGrandfatherOf(C,B) → granddaughterOf(A,C) ∧ grandfatherOf(C,A)","A→[motherOf]B←[greatGrandfatherOf]C ⇒ A↔[granddaughterOf,grandfatherOf]C",motherOf,greatGrandfatherOf,granddaughterOf,grandfatherOf,115,115,0.008320671442008537,1.0
"girlCousinOf(A,B) ∧ fatherOf(C,B) → nieceOf(A,C) ∧ uncleOf(C,A)","A→[girlCousinOf]B←[fatherOf]C ⇒ A↔[nieceOf,uncleOf]C",girlCousinOf,fatherOf,nieceOf,uncleOf,114,114,0.00824831777729542,1.0
"greatGrandsonOf(A,B) ∧ sonOf(C,B) → grandsonOf(A,C) ∧ grandfatherOf(C,A)","A→[greatGrandsonOf]B←[sonOf]C ⇒ A↔[grandsonOf,grandfatherOf]C",greatGrandsonOf,sonOf,grandsonOf,grandfatherOf,113,113,0.008175964112582302,1.0
"greatGrandmotherOf(A,B) ∧ secondUncleOf(C,B) → grandmotherOf(A,C) ∧ grandsonOf(C,A)","A→[greatGrandmotherOf]B←[secondUncleOf]C ⇒ A↔[grandmotherOf,grandsonOf]C",greatGrandmotherOf,secondUncleOf,grandmotherOf,grandsonOf,112,112,0.008103610447869185,1.0
"daughterOf(A,B) ∧ grandmotherOf(C,B) → greatGranddaughterOf(A,C) ∧ greatGrandmotherOf(C,A)","A→[daughterOf]B←[grandmotherOf]C ⇒ A↔[greatGranddaughterOf,greatGrandmotherOf]C",daughterOf,grandmotherOf,greatGranddaughterOf,greatGrandmotherOf,112,112,0.008103610447869185,1.0
"motherOf(A,B) ∧ sonOf(C,B) → grandmotherOf(A,C) ∧ grandsonOf(C,A)","A→[motherOf]B←[sonOf]C ⇒ A↔[grandmotherOf,grandsonOf]C",motherOf,sonOf,grandmotherOf,grandsonOf,112,112,0.008103610447869185,1.0
"secondAuntOf(A,B) ∧ uncleOf(C,B) → girlCousinOf(A,C) ∧ boyCousinOf(C,A)","A→[secondAuntOf]B←[uncleOf]C ⇒ A↔[girlCousinOf,boyCousinOf]C",secondAuntOf,uncleOf,girlCousinOf,boyCousinOf,112,112,0.008103610447869185,1.0
"greatGrandmotherOf(A,B) ∧ secondAuntOf(C,B) → grandmotherOf(A,C) ∧ granddaughterOf(C,A)","A→[greatGrandmotherOf]B←[secondAuntOf]C ⇒ A↔[grandmotherOf,granddaughterOf]C",greatGrandmotherOf,secondAuntOf,grandmotherOf,granddaughterOf,112,112,0.008103610447869185,1.0
"daughterOf(A,B) ∧ sisterOf(C,B) → nieceOf(A,C) ∧ auntOf(C,A)","A→[daughterOf]B←[sisterOf]C ⇒ A↔[nieceOf,auntOf]C",daughterOf,sisterOf,nieceOf,auntOf,111,111,0.008031256783156067,1.0
"grandfatherOf(A,B) ∧ sonOf(C,B) → greatGrandfatherOf(A,C) ∧ greatGrandsonOf(C,A)","A→[grandfatherOf]B←[sonOf]C ⇒ A↔[greatGrandfatherOf,greatGrandsonOf]C",grandfatherOf,sonOf,greatGrandfatherOf,greatGrandsonOf,111,111,0.008031256783156067,1.0
"uncleOf(A,B) ∧ greatAuntOf(C,B) → nephewOf(A,C) ∧ auntOf(C,A)","A→[uncleOf]B←[greatAuntOf]C ⇒ A↔[nephewOf,auntOf]C",uncleOf,greatAuntOf,nephewOf,auntOf,111,111,0.008031256783156067,1.0
"greatAuntOf(A,B) ∧ grandfatherOf(C,B) → sisterOf(A,C) ∧ brotherOf(C,A)","A→[greatAuntOf]B←[grandfatherOf]C ⇒ A↔[sisterOf,brotherOf]C",greatAuntOf,grandfatherOf,sisterOf,brotherOf,110,110,0.00795890311844295,1.0
"grandmotherOf(A,B) ∧ sonOf(C,B) → greatGrandmotherOf(A,C) ∧ greatGrandsonOf(C,A)","A→[grandmotherOf]B←[sonOf]C ⇒ A↔[greatGrandmotherOf,greatGrandsonOf]C",grandmotherOf,sonOf,greatGrandmotherOf,greatGrandsonOf,109,109,0.007886549453729831,1.0
"girlCousinOf(A,B) ∧ motherOf(C,B) → nieceOf(A,C) ∧ auntOf(C,A)","A→[girlCousinOf]B←[motherOf]C ⇒ A↔[nieceOf,auntOf]C",girlCousinOf,motherOf,nieceOf,auntOf,108,108,0.007814195789016714,1.0
"fatherOf(A,B) ∧ sonOf(C,B) → grandfatherOf(A,C) ∧ grandsonOf(C,A)","A→[fatherOf]B←[sonOf]C ⇒ A↔[grandfatherOf,grandsonOf]C",fatherOf,sonOf,grandfatherOf,grandsonOf,108,108,0.007814195789016714,1.0
"motherOf(A,B) ∧ girlCousinOf(C,B) → auntOf(A,C) ∧ nieceOf(C,A)","A→[motherOf]B←[girlCousinOf]C ⇒ A↔[auntOf,nieceOf]C",motherOf,girlCousinOf,auntOf,nieceOf,107,107,0.007741842124303596,1.0
"greatAuntOf(A,B) ∧ auntOf(C,B) → auntOf(A,C) ∧ nieceOf(C,A)","A→[greatAuntOf]B←[auntOf]C ⇒ A↔[auntOf,nieceOf]C",greatAuntOf,auntOf,auntOf,nieceOf,107,107,0.007741842124303596,1.0
"nephewOf(A,B) ∧ girlCousinOf(C,B) → boyFirstCousinOnceRemovedOf(A,C) ∧ secondAuntOf(C,A)","A→[nephewOf]B←[girlCousinOf]C ⇒ A↔[boyFirstCousinOnceRemovedOf,secondAuntOf]C",nephewOf,girlCousinOf,boyFirstCousinOnceRemovedOf,secondAuntOf,107,107,0.007741842124303596,1.0
"daughterOf(A,B) ∧ grandfatherOf(C,B) → greatGranddaughterOf(A,C) ∧ greatGrandfatherOf(C,A)","A→[daughterOf]B←[grandfatherOf]C ⇒ A↔[greatGranddaughterOf,greatGrandfatherOf]C",daughterOf,grandfatherOf,greatGranddaughterOf,greatGrandfatherOf,106,106,0.007669488459590478,1.0
"brotherOf(A,B) ∧ uncleOf(C,B) → nephewOf(A,C) ∧ uncleOf(C,A)","A→[brotherOf]B←[uncleOf]C ⇒ A↔[nephewOf,uncleOf]C",brotherOf,uncleOf,nephewOf,uncleOf,106,106,0.007669488459590478,1.0
"uncleOf(A,B) ∧ motherOf(C,B) → brotherOf(A,C) ∧ sisterOf(C,A)","A→[uncleOf]B←[motherOf]C ⇒ A↔[brotherOf,sisterOf]C",uncleOf,motherOf,brotherOf,sisterOf,105,105,0.00759713479487736,1.0
"daughterOf(A,B) ∧ brotherOf(C,B) → nieceOf(A,C) ∧ uncleOf(C,A)","A→[daughterOf]B←[brotherOf]C ⇒ A↔[nieceOf,uncleOf]C",daughterOf,brotherOf,nieceOf,uncleOf,104,104,0.007524781130164243,1.0
"greatAuntOf(A,B) ∧ greatAuntOf(C,B) → sisterOf(A,C) ∧ sisterOf(C,A)","A→[greatAuntOf]B←[greatAuntOf]C ⇒ A↔[sisterOf,sisterOf]C",greatAuntOf,greatAuntOf,sisterOf,sisterOf,103,103,0.007452427465451125,1.0
"auntOf(A,B) ∧ grandmotherOf(C,B) → daughterOf(A,C) ∧ motherOf(C,A)","A→[auntOf]B←[grandmotherOf]C ⇒ A↔[daughterOf,motherOf]C",auntOf,grandmotherOf,daughterOf,motherOf,100,100,0.007235366471311772,1.0
"uncleOf(A,B) ∧ fatherOf(C,B) → brotherOf(A,C) ∧ brotherOf(C,A)","A→[uncleOf]B←[fatherOf]C ⇒ A↔[brotherOf,brotherOf]C",uncleOf,fatherOf,brotherOf,brotherOf,100,100,0.007235366471311772,1.0
"sonOf(A,B) ∧ sisterOf(C,B) → nephewOf(A,C) ∧ auntOf(C,A)","A→[sonOf]B←[sisterOf]C ⇒ A↔[nephewOf,auntOf]C",sonOf,sisterOf,nephewOf,auntOf,100,100,0.007235366471311772,1.0
"grandmotherOf(A,B) ∧ fatherOf(C,B) → motherOf(A,C) ∧ sonOf(C,A)","A→[grandmotherOf]B←[fatherOf]C ⇒ A↔[motherOf,sonOf]C",grandmotherOf,fatherOf,motherOf,sonOf,99,99,0.007163012806598654,1.0
"greatUncleOf(A,B) ∧ greatGrandfatherOf(C,B) → sonOf(A,C) ∧ fatherOf(C,A)","A→[greatUncleOf]B←[greatGrandfatherOf]C ⇒ A↔[sonOf,fatherOf]C",greatUncleOf,greatGrandfatherOf,sonOf,fatherOf,96,96,0.006945951812459301,1.0
"brotherOf(A,B) ∧ boyCousinOf(C,B) → boyCousinOf(A,C) ∧ boyCousinOf(C,A)","A→[brotherOf]B←[boyCousinOf]C ⇒ A↔[boyCousinOf,boyCousinOf]C",brotherOf,boyCousinOf,boyCousinOf,boyCousinOf,96,96,0.006945951812459301,1.0
"greatGrandfatherOf(A,B) ∧ secondUncleOf(C,B) → grandfatherOf(A,C) ∧ grandsonOf(C,A)","A→[greatGrandfatherOf]B←[secondUncleOf]C ⇒ A↔[grandfatherOf,grandsonOf]C",greatGrandfatherOf,secondUncleOf,grandfatherOf,grandsonOf,95,95,0.006873598147746183,1.0
"auntOf(A,B) ∧ motherOf(C,B) → sisterOf(A,C) ∧ sisterOf(C,A)","A→[auntOf]B←[motherOf]C ⇒ A↔[sisterOf,sisterOf]C",auntOf,motherOf,sisterOf,sisterOf,95,95,0.006873598147746183,1.0
"greatGrandfatherOf(A,B) ∧ grandmotherOf(C,B) → fatherOf(A,C) ∧ daughterOf(C,A)","A→[greatGrandfatherOf]B←[grandmotherOf]C ⇒ A↔[fatherOf,daughterOf]C",greatGrandfatherOf,grandmotherOf,fatherOf,daughterOf,95,95,0.006873598147746183,1.0
"girlCousinOf(A,B) ∧ nephewOf(C,B) → secondAuntOf(A,C) ∧ boyFirstCousinOnceRemovedOf(C,A)","A→[girlCousinOf]B←[nephewOf]C ⇒ A↔[secondAuntOf,boyFirstCousinOnceRemovedOf]C",girlCousinOf,nephewOf,secondAuntOf,boyFirstCousinOnceRemovedOf,94,94,0.0068012444830330655,1.0
"sonOf(A,B) ∧ grandmotherOf(C,B) → greatGrandsonOf(A,C) ∧ greatGrandmotherOf(C,A)","A→[sonOf]B←[grandmotherOf]C ⇒ A↔[greatGrandsonOf,greatGrandmotherOf]C",sonOf,grandmotherOf,greatGrandsonOf,greatGrandmotherOf,94,94,0.0068012444830330655,1.0
"greatUncleOf(A,B) ∧ uncleOf(C,B) → uncleOf(A,C) ∧ nephewOf(C,A)","A→[greatUncleOf]B←[uncleOf]C ⇒ A↔[uncleOf,nephewOf]C",greatUncleOf,uncleOf,uncleOf,nephewOf,94,94,0.0068012444830330655,1.0
"grandfatherOf(A,B) ∧ daughterOf(C,B) → greatGrandfatherOf(A,C) ∧ greatGranddaughterOf(C,A)","A→[grandfatherOf]B←[daughterOf]C ⇒ A↔[greatGrandfatherOf,greatGranddaughterOf]C",grandfatherOf,daughterOf,greatGrandfatherOf,greatGranddaughterOf,94,94,0.0068012444830330655,1.0
"grandfatherOf(A,B) ∧ boyFirstCousinOnceRemovedOf(C,B) → greatGrandfatherOf(A,C) ∧ greatGrandsonOf(C,A)","A→[grandfatherOf]B←[boyFirstCousinOnceRemovedOf]C ⇒ A↔[greatGrandfatherOf,greatGrandsonOf]C",grandfatherOf,boyFirstCousinOnceRemovedOf,greatGrandfatherOf,greatGrandsonOf,94,94,0.0068012444830330655,1.0
"fatherOf(A,B) ∧ auntOf(C,B) → brotherOf(A,C) ∧ sisterOf(C,A)","A→[fatherOf]B←[auntOf]C ⇒ A↔[brotherOf,sisterOf]C",fatherOf,auntOf,brotherOf,sisterOf,93,93,0.006728890818319948,1.0
"boyFirstCousinOnceRemovedOf(A,B) ∧ sisterOf(C,B) → boyFirstCousinOnceRemovedOf(A,C) ∧ secondAuntOf(C,A)","A→[boyFirstCousinOnceRemovedOf]B←[sisterOf]C ⇒ A↔[boyFirstCousinOnceRemovedOf,secondAuntOf]C",boyFirstCousinOnceRemovedOf,sisterOf,boyFirstCousinOnceRemovedOf,secondAuntOf,93,93,0.006728890818319948,1.0
"greatGrandfatherOf(A,B) ∧ secondAuntOf(C,B) → grandfatherOf(A,C) ∧ granddaughterOf(C,A)","A→[greatGrandfatherOf]B←[secondAuntOf]C ⇒ A↔[grandfatherOf,granddaughterOf]C",greatGrandfatherOf,secondAuntOf,grandfatherOf,granddaughterOf,93,93,0.006728890818319948,1.0
"sonOf(A,B) ∧ grandfatherOf(C,B) → greatGrandsonOf(A,C) ∧ greatGrandfatherOf(C,A)","A→[sonOf]B←[grandfatherOf]C ⇒ A↔[greatGrandsonOf,greatGrandfatherOf]C",sonOf,grandfatherOf,greatGrandsonOf,greatGrandfatherOf,92,92,0.00665653715360683,1.0
"grandmotherOf(A,B) ∧ girlFirstCousinOnceRemovedOf(C,B) → greatGrandmotherOf(A,C) ∧ greatGranddaughterOf(C,A)","A→[grandmotherOf]B←[girlFirstCousinOnceRemovedOf]C ⇒ A↔[greatGrandmotherOf,greatGranddaughterOf]C",grandmotherOf,girlFirstCousinOnceRemovedOf,greatGrandmotherOf,greatGranddaughterOf,92,92,0.00665653715360683,1.0
"auntOf(A,B) ∧ secondAuntOf(C,B) → girlCousinOf(A,C) ∧ girlCousinOf(C,A)","A→[auntOf]B←[secondAuntOf]C ⇒ A↔[girlCousinOf,girlCousinOf]C",auntOf,secondAuntOf,girlCousinOf,girlCousinOf,91,91,0.006584183488893712,1.0
"boyCousinOf(A,B) ∧ motherOf(C,B) → nephewOf(A,C) ∧ auntOf(C,A)","A→[boyCousinOf]B←[motherOf]C ⇒ A↔[nephewOf,auntOf]C",boyCousinOf,motherOf,nephewOf,auntOf,91,91,0.006584183488893712,1.0
